make_model,make,price,body_type,mileage,gearbox,fuel_type,seller,power,gears,emission_class,previous_owner,age,entertainment_media_count,engine_size_cat,comfort_convenience_cat
Mercedes Benz E 200,Mercedes Benz,29950,Station wagon,113456.0,Automatic,Diesel,Dealer,110.0,9.0,Euro 6,First Hand,4.0,Standart,Medium,standard
Mercedes Benz C 43 AMG,Mercedes Benz,36680,Station wagon,94932.0,Automatic,Benzin,Dealer,270.0,9.0,Euro 6,First Hand,4.0,Standart,High,luxury
Mercedes Benz CLS 350,Mercedes Benz,27880,Station wagon,59958.0,Automatic,Diesel,Dealer,195.0,7.0,Other,First Hand,8.0,Upgrated,High,luxury
Mercedes Benz C 400,Mercedes Benz,30880,Station wagon,137542.0,Automatic,Benzin,Dealer,245.0,9.0,Euro 6,First Hand,4.0,Upgrated,High,luxury
Mercedes Benz CLA 200,Mercedes Benz,17395,Station wagon,118578.0,Manual,Diesel,Dealer,100.0,6.0,Euro 6,Second Hand,6.0,Standart,Medium,standard
Mercedes Benz E 350,Mercedes Benz,20800,Station wagon,134793.0,Automatic,Benzin,Dealer,215.0,7.0,Other,Second Hand,13.0,Standart,High,luxury
Mercedes Benz C 43 AMG,Mercedes Benz,39900,Station wagon,68900.0,Automatic,Benzin,Dealer,270.0,8.0,Euro 6,First Hand,6.0,Upgrated,High,luxury
Mercedes Benz C 180,Mercedes Benz,22850,Station wagon,103623.0,Automatic,Diesel,Dealer,90.0,9.0,Euro 6,First Hand,3.0,Standart,Medium,luxury
Mercedes Benz CLA 35 AMG,Mercedes Benz,53250,Station wagon,43000.0,Automatic,Benzin,Dealer,225.0,7.0,Euro 6,First Hand,2.0,Upgrated,Medium,luxury
Mercedes Benz E 350,Mercedes Benz,24440,Station wagon,140000.0,Automatic,Diesel,Dealer,190.0,7.0,Euro 6,Second Hand,6.0,Upgrated,High,luxury
Mercedes Benz E 400,Mercedes Benz,25499,Station wagon,238918.0,Automatic,Benzin,Dealer,245.0,9.0,Euro 6,First Hand,4.0,Upgrated,High,luxury
Mercedes Benz C 200,Mercedes Benz,19870,Station wagon,171705.0,Automatic,Diesel,Dealer,100.0,9.0,Euro 6,First Hand,4.0,Standart,Medium,luxury
Mercedes Benz CLS 350,Mercedes Benz,28880,Station wagon,111900.0,Automatic,Diesel,Dealer,190.0,9.0,Euro 6,Second Hand,6.0,Upgrated,High,luxury
Mercedes Benz E 53 AMG,Mercedes Benz,40999,Station wagon,174717.0,Automatic,Benzin,Dealer,320.0,9.0,Euro 6,First Hand,3.0,Standart,High,luxury
Mercedes Benz E 200,Mercedes Benz,28990,Station wagon,99810.0,Automatic,Diesel,Dealer,110.0,9.0,Euro 6,First Hand,5.0,Upgrated,Medium,luxury
Mercedes Benz C 63 AMG,Mercedes Benz,54950,Station wagon,34900.0,Automatic,Benzin,Dealer,350.0,7.0,Euro 6,Second Hand,5.0,Standart,High,luxury
Mercedes Benz CLS,Mercedes Benz,19985,Station wagon,194000.0,Automatic,Diesel,Dealer,150.0,9.0,Other,Second Hand,8.0,Standart,Medium,luxury
Mercedes Benz E 350,Mercedes Benz,25990,Station wagon,124000.0,Automatic,Diesel,Dealer,190.0,9.0,Euro 6,Second Hand,7.0,Standart,High,luxury
Mercedes Benz C 200,Mercedes Benz,25849,Station wagon,94817.0,Automatic,Diesel,Dealer,118.0,9.0,Euro 6,First Hand,2.0,Upgrated,Medium,luxury
Mercedes Benz CLA 200,Mercedes Benz,17490,Station wagon,139740.0,Manual,Diesel,Dealer,100.0,6.0,Euro 6,First Hand,7.0,Standart,Medium,standard
Mercedes Benz E 43 AMG,Mercedes Benz,37970,Station wagon,144980.0,Automatic,Benzin,Dealer,295.0,9.0,Euro 6,Second Hand,5.0,Upgrated,High,luxury
Mercedes Benz CLA 180,Mercedes Benz,36900,Station wagon,34900.0,Automatic,Benzin,Dealer,100.0,7.0,Euro 6,First Hand,1.0,Upgrated,Low,luxury
Mercedes Benz E 350,Mercedes Benz,24699,Station wagon,108000.0,Automatic,Diesel,Dealer,185.0,7.0,Euro 6,First Hand,8.0,Standart,High,luxury
Mercedes Benz C 250,Mercedes Benz,29989,Station wagon,99750.0,Automatic,Diesel,Dealer,150.0,9.0,Euro 6,First Hand,5.0,Upgrated,Medium,luxury
Mercedes Benz CLS 350,Mercedes Benz,21950,Station wagon,124536.0,Automatic,Diesel,Dealer,195.0,7.0,Other,Second Hand,8.0,Standart,High,luxury
Mercedes Benz CLS 250,Mercedes Benz,23880,Station wagon,96895.0,Automatic,Diesel,Dealer,150.0,7.0,Other,Second Hand,7.0,Upgrated,Medium,luxury
Mercedes Benz E 220,Mercedes Benz,31849,Station wagon,123756.0,Automatic,Diesel,Dealer,143.0,9.0,Euro 6,First Hand,2.0,Upgrated,Medium,luxury
Mercedes Benz CLS 250,Mercedes Benz,25880,Station wagon,115479.0,Automatic,Diesel,Dealer,150.0,7.0,Euro 6,Second Hand,7.0,Upgrated,Medium,luxury
Mercedes Benz C 43 AMG,Mercedes Benz,38990,Station wagon,83312.0,Automatic,Benzin,Dealer,270.0,7.0,Euro 6,Second Hand,6.0,Standart,High,standard
Mercedes Benz E 250,Mercedes Benz,11750,Station wagon,237022.0,Automatic,Diesel,Dealer,150.0,6.0,Other,First Hand,11.0,Standart,Medium,standard
Mercedes Benz E 220,Mercedes Benz,27399,Station wagon,156000.0,Automatic,Diesel,Dealer,143.0,9.0,Euro 6,Second Hand,5.0,Upgrated,Medium,luxury
Mercedes Benz CLA 180,Mercedes Benz,23500,Station wagon,96085.0,Automatic,Benzin,Dealer,90.0,7.0,Euro 6,First Hand,4.0,Upgrated,Medium,luxury
Mercedes Benz CLS 500,Mercedes Benz,30880,Station wagon,77793.0,Automatic,Benzin,Dealer,300.0,7.0,Other,Second Hand,8.0,Upgrated,High,luxury
Mercedes Benz C 300,Mercedes Benz,26990,Station wagon,112372.0,Automatic,Benzin,Dealer,180.0,9.0,Euro 6,First Hand,4.0,Standart,Medium,standard
Mercedes Benz E 200,Mercedes Benz,26640,Station wagon,111096.0,Automatic,Benzin,Dealer,135.0,9.0,Euro 6,Second Hand,5.0,Upgrated,Medium,luxury
Mercedes Benz CLS 500,Mercedes Benz,27990,Station wagon,114000.0,Automatic,Benzin,Dealer,300.0,7.0,Other,Second Hand,9.0,Standart,High,luxury
Mercedes Benz E 200,Mercedes Benz,34990,Station wagon,78000.0,Automatic,Diesel,Dealer,110.0,9.0,Euro 6,First Hand,3.0,Upgrated,Medium,luxury
Mercedes Benz C 350,Mercedes Benz,18888,Station wagon,178400.0,Automatic,Diesel,Dealer,195.0,7.0,Other,Second Hand,9.0,Standart,High,luxury
Mercedes Benz C 300,Mercedes Benz,33580,Station wagon,20000.0,Automatic,Benzin,Dealer,180.0,9.0,Euro 6,Second Hand,5.0,Upgrated,Medium,luxury
Mercedes Benz C 200,Mercedes Benz,22900,Station wagon,105000.0,Automatic,Diesel,Dealer,100.0,7.0,Euro 6,First Hand,6.0,Standart,Medium,luxury
Mercedes Benz C 180,Mercedes Benz,16900,Station wagon,147757.0,Manual,Diesel,Dealer,85.0,6.0,Euro 6,First Hand,5.0,Standart,Medium,luxury
Mercedes Benz C 200,Mercedes Benz,25849,Station wagon,90051.0,Automatic,Diesel,Dealer,118.0,9.0,Euro 6,First Hand,2.0,Upgrated,Medium,luxury
Mercedes Benz E 250,Mercedes Benz,13499,Station wagon,158000.0,Automatic,Benzin,Dealer,150.0,5.0,Other,First Hand,11.0,Standart,Medium,luxury
Mercedes Benz E 200,Mercedes Benz,27000,Station wagon,89000.0,Automatic,Diesel,Dealer,110.0,9.0,Euro 6,Second Hand,5.0,Standart,Medium,luxury
Mercedes Benz CLA 200,Mercedes Benz,20950,Station wagon,95750.0,Automatic,Benzin,Dealer,115.0,7.0,Euro 6,First Hand,5.0,Standart,Medium,standard
Mercedes Benz CLS 250,Mercedes Benz,19985,Station wagon,194000.0,Automatic,Diesel,Dealer,150.0,7.0,Other,Second Hand,8.0,Standart,Medium,luxury
Mercedes Benz E 53 AMG,Mercedes Benz,54880,Station wagon,35550.0,Automatic,Benzin,Dealer,320.0,9.0,Euro 6,First Hand,4.0,Standart,High,standard
Mercedes Benz E 350,Mercedes Benz,39999,Station wagon,60000.0,Automatic,Diesel,Dealer,210.0,9.0,Euro 6,First Hand,3.0,Upgrated,High,luxury
Mercedes Benz C 32 AMG,Mercedes Benz,16199,Station wagon,41731.0,Manual,Diesel,Dealer,100.0,6.0,Euro 6,Second Hand,10.0,Standart,Medium,standard
Mercedes Benz C 220,Mercedes Benz,27700,Station wagon,107599.0,Automatic,Diesel,Dealer,143.0,9.0,Euro 6,First Hand,3.0,Upgrated,Medium,luxury
Mercedes Benz E 200,Mercedes Benz,27790,Station wagon,110877.0,Automatic,Diesel,Dealer,110.0,9.0,Euro 6,First Hand,4.0,Upgrated,Medium,luxury
Mercedes Benz E 200,Mercedes Benz,19480,Station wagon,112000.0,Automatic,Diesel,Dealer,100.0,7.0,Other,Second Hand,8.0,Standart,Medium,luxury
Mercedes Benz E 63 AMG,Mercedes Benz,66360,Station wagon,99560.0,Automatic,Benzin,Dealer,450.0,9.0,Euro 6,First Hand,4.0,Upgrated,High,luxury
Mercedes Benz CLA 200,Mercedes Benz,17900,Station wagon,99990.0,Manual,Diesel,Dealer,100.0,6.0,Euro 6,Second Hand,5.0,Standart,Medium,standard
Mercedes Benz E 350,Mercedes Benz,13990,Station wagon,199400.0,Automatic,Diesel,Dealer,195.0,7.0,Other,Second Hand,10.0,Standart,High,luxury
Mercedes Benz E 280,Mercedes Benz,7900,Station wagon,235500.0,Automatic,Benzin,Dealer,170.0,6.0,Other,Second Hand,14.0,Standart,High,standard
Mercedes Benz CLA 200,Mercedes Benz,19999,Station wagon,126346.0,Automatic,Diesel,Dealer,100.0,7.0,Euro 6,Second Hand,5.0,Standart,Medium,standard
Mercedes Benz C 63 AMG,Mercedes Benz,48990,Station wagon,81540.0,Automatic,Benzin,Dealer,375.0,7.0,Euro 6,First Hand,5.0,Standart,High,luxury
Mercedes Benz CLA 35 AMG,Mercedes Benz,57450,Station wagon,25071.0,Automatic,Benzin,Dealer,225.0,7.0,Euro 6,First Hand,1.0,Standart,Medium,standard
Mercedes Benz E 350,Mercedes Benz,29950,Station wagon,82259.0,Automatic,Diesel,Dealer,185.0,7.0,Euro 6,Second Hand,9.0,Standart,High,luxury
Mercedes Benz CLA 250,Mercedes Benz,23500,Station wagon,115500.0,Automatic,Benzin,Dealer,154.0,7.0,Euro 6,Second Hand,7.0,Standart,Medium,luxury
Mercedes Benz C 200,Mercedes Benz,25995,Station wagon,68913.0,Automatic,Benzin,Dealer,135.0,9.0,Euro 6,First Hand,4.0,Standart,Medium,luxury
Mercedes Benz C 300,Mercedes Benz,30890,Station wagon,125000.0,Automatic,Benzin,Dealer,190.0,9.0,Euro 6,First Hand,4.0,Upgrated,Medium,luxury
Mercedes Benz E 400,Mercedes Benz,50980,Station wagon,61413.0,Automatic,Diesel,Dealer,250.0,9.0,Euro 6,First Hand,3.0,Upgrated,High,luxury
Mercedes Benz C 400,Mercedes Benz,36990,Station wagon,44987.0,Automatic,Benzin,Dealer,245.0,9.0,Euro 6,First Hand,3.0,Upgrated,High,luxury
Mercedes Benz C 220,Mercedes Benz,17990,Station wagon,166690.0,Automatic,Diesel,Dealer,125.0,7.0,Euro 6,Second Hand,6.0,Standart,Medium,luxury
Mercedes Benz C 63 AMG,Mercedes Benz,56995,Station wagon,50256.0,Automatic,Benzin,Dealer,375.0,7.0,Euro 6,First Hand,4.0,Upgrated,High,luxury
Mercedes Benz C 200,Mercedes Benz,24849,Station wagon,110353.0,Automatic,Diesel,Dealer,118.0,9.0,Euro 6,First Hand,2.0,Upgrated,Medium,luxury
Mercedes Benz C 220,Mercedes Benz,24940,Station wagon,87143.0,Automatic,Diesel,Dealer,125.0,9.0,Euro 6,Second Hand,6.0,Standart,Medium,luxury
Mercedes Benz C 220,Mercedes Benz,22490,Station wagon,115757.0,Automatic,Diesel,Dealer,125.0,9.0,Euro 6,First Hand,5.0,Standart,Medium,standard
Mercedes Benz C 220,Mercedes Benz,26940,Station wagon,118581.0,Automatic,Diesel,Dealer,143.0,9.0,Euro 6,First Hand,4.0,Standart,Medium,luxury
Mercedes Benz C 200,Mercedes Benz,25849,Station wagon,89166.0,Automatic,Diesel,Dealer,118.0,9.0,Euro 6,First Hand,2.0,Upgrated,Medium,luxury
Mercedes Benz C 220,Mercedes Benz,24990,Station wagon,54194.0,Automatic,Diesel,Dealer,125.0,9.0,Euro 6,Second Hand,5.0,Standart,Medium,luxury
Mercedes Benz CLA 180,Mercedes Benz,25250,Station wagon,50000.0,Automatic,Benzin,Dealer,90.0,7.0,Euro 6,First Hand,5.0,Standart,Medium,luxury
Mercedes Benz CLA 200,Mercedes Benz,19450,Station wagon,136800.0,Automatic,Benzin,Dealer,115.0,7.0,Euro 6,Second Hand,7.0,Standart,Medium,luxury
Mercedes Benz C 63 AMG,Mercedes Benz,49900,Station wagon,49900.0,Automatic,Benzin,Dealer,375.0,9.0,Euro 6,Second Hand,6.0,Standart,High,luxury
Mercedes Benz E 250,Mercedes Benz,12450,Station wagon,177671.0,Automatic,Benzin,Dealer,150.0,5.0,Other,Second Hand,11.0,Standart,Medium,standard
Mercedes Benz CLA 200,Mercedes Benz,17999,Station wagon,144588.0,Manual,Benzin,Dealer,115.0,6.0,Euro 6,First Hand,5.0,Standart,Medium,standard
Mercedes Benz C 300,Mercedes Benz,29950,Station wagon,118000.0,Automatic,Diesel,Dealer,180.0,9.0,Euro 6,First Hand,3.0,Standart,Medium,luxury
Mercedes Benz CLA 220,Mercedes Benz,20790,Station wagon,151627.0,Automatic,Diesel,Dealer,125.0,7.0,Euro 6,First Hand,4.0,Standart,Medium,standard
Mercedes Benz C 180,Mercedes Benz,23490,Station wagon,106000.0,Automatic,Diesel,Dealer,90.0,9.0,Euro 6,First Hand,3.0,Upgrated,Medium,luxury
Mercedes Benz C 250,Mercedes Benz,24999,Station wagon,88518.0,Automatic,Diesel,Dealer,150.0,9.0,Euro 6,Second Hand,7.0,Standart,Medium,luxury
Mercedes Benz C 180,Mercedes Benz,23490,Station wagon,95000.0,Automatic,Diesel,Dealer,90.0,9.0,Euro 6,First Hand,3.0,Upgrated,Medium,luxury
Mercedes Benz E 400,Mercedes Benz,43880,Station wagon,50000.0,Automatic,Diesel,Dealer,250.0,9.0,Euro 6,First Hand,4.0,Upgrated,High,luxury
Mercedes Benz C 250,Mercedes Benz,26400,Station wagon,101800.0,Automatic,Diesel,Dealer,150.0,9.0,Euro 6,Second Hand,6.0,Standart,Medium,luxury
Mercedes Benz E 300,Mercedes Benz,38880,Station wagon,65000.0,Automatic,Diesel,Dealer,180.0,9.0,Euro 6,First Hand,3.0,Upgrated,Medium,luxury
Mercedes Benz C 200,Mercedes Benz,20985,Station wagon,115000.0,Automatic,Diesel,Dealer,100.0,7.0,Euro 6,Second Hand,6.0,Standart,Medium,standard
Mercedes Benz E 300,Mercedes Benz,38440,Station wagon,50000.0,Automatic,Diesel,Dealer,180.0,9.0,Euro 6,First Hand,3.0,Upgrated,Medium,luxury
Mercedes Benz E 300,Mercedes Benz,29999,Station wagon,112440.0,Automatic,Diesel,Dealer,180.0,9.0,Euro 6,First Hand,4.0,Upgrated,Medium,luxury
Mercedes Benz E 220,Mercedes Benz,28900,Station wagon,119900.0,Automatic,Diesel,Dealer,143.0,9.0,Euro 6,First Hand,4.0,Upgrated,Medium,luxury
Mercedes Benz C 220,Mercedes Benz,39995,Station wagon,77302.0,Automatic,Diesel,Dealer,143.0,9.0,Euro 6,First Hand,2.0,Upgrated,Medium,luxury
Mercedes Benz C 200,Mercedes Benz,25849,Station wagon,81045.0,Automatic,Diesel,Dealer,118.0,9.0,Euro 6,First Hand,2.0,Upgrated,Medium,luxury
Mercedes Benz E 220,Mercedes Benz,27989,Station wagon,89985.0,Automatic,Diesel,Dealer,143.0,9.0,Euro 6,First Hand,5.0,Standart,Medium,luxury
Mercedes Benz C 43 AMG,Mercedes Benz,34990,Station wagon,99000.0,Automatic,Benzin,Dealer,270.0,9.0,Euro 6,Second Hand,6.0,Standart,High,standard
Mercedes Benz E 200,Mercedes Benz,27500,Station wagon,99990.0,Automatic,Diesel,Dealer,110.0,9.0,Euro 6,First Hand,4.0,Standart,Medium,standard
Mercedes Benz E 350,Mercedes Benz,20999,Station wagon,108835.0,Automatic,Benzin,Dealer,225.0,7.0,Other,Second Hand,10.0,Standart,High,luxury
Mercedes Benz C 220,Mercedes Benz,24450,Station wagon,155000.0,Automatic,Diesel,Dealer,143.0,9.0,Euro 6,First Hand,3.0,Standart,Medium,luxury
Mercedes Benz C 43 AMG,Mercedes Benz,43989,Station wagon,118750.0,Automatic,Benzin,Dealer,287.0,4.0,Euro 6,First Hand,4.0,Upgrated,High,luxury
Mercedes Benz C 180,Mercedes Benz,14990,Station wagon,152211.0,Manual,Diesel,Dealer,85.0,6.0,Euro 6,Second Hand,5.0,Standart,Medium,luxury
Mercedes Benz C 300,Mercedes Benz,33990,Station wagon,45913.0,Automatic,Diesel,Dealer,180.0,9.0,Euro 6,First Hand,3.0,Standart,Medium,standard
Mercedes Benz C 63 AMG,Mercedes Benz,66950,Station wagon,5900.0,Automatic,Benzin,Dealer,375.0,9.0,Euro 6,Second Hand,7.0,Upgrated,High,luxury
Mercedes Benz E 300,Mercedes Benz,35499,Station wagon,110683.0,Automatic,Diesel,Dealer,180.0,9.0,Euro 6,First Hand,3.0,Standart,Medium,luxury
Mercedes Benz CLS,Mercedes Benz,29900,Station wagon,97454.0,Automatic,Diesel,Dealer,150.0,9.0,Euro 6,Second Hand,6.0,Standart,Medium,luxury
Mercedes Benz CLA 180,Mercedes Benz,27250,Station wagon,54908.0,Automatic,Benzin,Dealer,90.0,7.0,Euro 6,First Hand,3.0,Standart,Medium,luxury
Mercedes Benz B 180,Mercedes Benz,16990,Station wagon,66000.0,Manual,Diesel,Dealer,80.0,6.0,Euro 6,First Hand,5.0,Standart,Medium,standard
Mercedes Benz E 220,Mercedes Benz,16950,Station wagon,203863.0,Automatic,Diesel,Dealer,125.0,5.0,Other,First Hand,12.0,Standart,Medium,luxury
Mercedes Benz C 43 AMG,Mercedes Benz,51849,Station wagon,30480.0,Automatic,Benzin,Dealer,287.0,9.0,Euro 6,First Hand,3.0,Upgrated,High,luxury
Mercedes Benz C 43 AMG,Mercedes Benz,40995,Station wagon,50649.0,Automatic,Benzin,Dealer,270.0,9.0,Euro 6,Second Hand,5.0,Standart,High,standard
Mercedes Benz C 300,Mercedes Benz,67500,Station wagon,16000.0,Automatic,Benzin,Dealer,245.0,9.0,Euro 6,First Hand,0.0,Upgrated,Medium,luxury
Mercedes Benz C 43 AMG,Mercedes Benz,49990,Station wagon,43400.0,Automatic,Benzin,Dealer,287.0,9.0,Euro 6,First Hand,4.0,Upgrated,High,luxury
Mercedes Benz C 180,Mercedes Benz,18280,Station wagon,131000.0,Automatic,Benzin,Dealer,115.0,7.0,Euro 6,Second Hand,7.0,Standart,Medium,luxury
Mercedes Benz C 43 AMG,Mercedes Benz,37500,Station wagon,93470.0,Automatic,Benzin,Dealer,270.0,9.0,Euro 6,Second Hand,5.0,Standart,High,standard
Mercedes Benz C 200,Mercedes Benz,54950,Station wagon,18000.0,Automatic,Diesel,Dealer,120.0,9.0,Euro 6,First Hand,0.0,Upgrated,Medium,luxury
Mercedes Benz CLA 45 AMG,Mercedes Benz,34900,Station wagon,83000.0,Automatic,Benzin,Dealer,280.0,7.0,Euro 6,Second Hand,6.0,Standart,Medium,luxury
Mercedes Benz E 220,Mercedes Benz,40950,Station wagon,90000.0,Automatic,Diesel,Dealer,143.0,9.0,Euro 6,First Hand,1.0,Upgrated,Medium,luxury
Mercedes Benz CLA 45 AMG,Mercedes Benz,28999,Station wagon,71004.0,Automatic,Benzin,Dealer,265.0,7.0,Euro 6,Second Hand,7.0,Standart,Medium,luxury
Mercedes Benz C 300,Mercedes Benz,28989,Station wagon,74974.0,Automatic,Benzin,Dealer,190.0,9.0,Euro 6,First Hand,4.0,Upgrated,Medium,luxury
Mercedes Benz E 220,Mercedes Benz,33850,Station wagon,159900.0,Automatic,Diesel,Dealer,143.0,9.0,Euro 6,First Hand,4.0,Upgrated,Medium,luxury
Mercedes Benz CLA 250,Mercedes Benz,28680,Station wagon,47903.0,Automatic,Benzin,Dealer,155.0,7.0,Euro 6,Second Hand,5.0,Upgrated,Medium,luxury
Mercedes Benz C 220,Mercedes Benz,27949,Station wagon,79450.0,Automatic,Diesel,Dealer,143.0,9.0,Euro 6,First Hand,3.0,Upgrated,Medium,luxury
Mercedes Benz C 250,Mercedes Benz,19991,Station wagon,107078.0,Automatic,Benzin,Dealer,155.0,7.0,Euro 6,Second Hand,7.0,Standart,Medium,luxury
Mercedes Benz E 300,Mercedes Benz,40990,Station wagon,43297.0,Automatic,Diesel,Dealer,180.0,9.0,Euro 6,First Hand,2.0,Standart,Medium,luxury
Mercedes Benz C 200,Mercedes Benz,24900,Station wagon,79596.0,Automatic,Benzin,Dealer,135.0,7.0,Euro 6,Second Hand,7.0,Standart,Medium,luxury
Mercedes Benz C 250,Mercedes Benz,28880,Station wagon,84629.0,Automatic,Benzin,Dealer,155.0,7.0,Euro 6,First Hand,4.0,Standart,Medium,luxury
Mercedes Benz E 400,Mercedes Benz,25999,Station wagon,97549.0,Automatic,Benzin,Dealer,245.0,7.0,Euro 6,Second Hand,9.0,Standart,High,luxury
Mercedes Benz C 180,Mercedes Benz,24500,Station wagon,90000.0,Automatic,Diesel,Dealer,90.0,9.0,Euro 6,First Hand,3.0,Standart,Medium,luxury
Mercedes Benz E 350,Mercedes Benz,26444,Station wagon,98600.0,Automatic,Diesel,Dealer,190.0,9.0,Euro 6,Second Hand,8.0,Standart,High,luxury
Mercedes Benz C 180,Mercedes Benz,22900,Station wagon,99979.0,Automatic,Benzin,Dealer,115.0,7.0,Euro 6,Second Hand,7.0,Standart,Medium,luxury
Mercedes Benz CLA 35 AMG,Mercedes Benz,60750,Station wagon,3001.0,Automatic,Benzin,Dealer,225.0,7.0,Euro 6,First Hand,0.0,Upgrated,Medium,luxury
Mercedes Benz C 220,Mercedes Benz,32890,Station wagon,87128.0,Automatic,Diesel,Dealer,143.0,9.0,Euro 6,First Hand,3.0,Upgrated,Medium,luxury
Mercedes Benz E 350,Mercedes Benz,42980,Station wagon,82954.0,Automatic,Diesel,Dealer,190.0,9.0,Euro 6,Second Hand,5.0,Standart,High,luxury
Mercedes Benz B 180,Mercedes Benz,17980,Station wagon,51350.0,Automatic,Benzin,Dealer,90.0,7.0,Euro 6,Second Hand,8.0,Upgrated,Medium,standard
Mercedes Benz C 250,Mercedes Benz,29970,Station wagon,89117.0,Automatic,Diesel,Dealer,150.0,9.0,Euro 6,First Hand,5.0,Upgrated,Medium,luxury
Mercedes Benz C 220,Mercedes Benz,24900,Station wagon,80851.0,Automatic,Diesel,Dealer,125.0,9.0,Euro 6,Second Hand,5.0,Standart,Medium,standard
Mercedes Benz C 300,Mercedes Benz,26999,Station wagon,136000.0,Automatic,Diesel,Dealer,180.0,9.0,Euro 6,First Hand,3.0,Upgrated,Medium,luxury
Mercedes Benz E 300,Mercedes Benz,68670,Station wagon,9750.0,Automatic,Diesel,Dealer,195.0,9.0,Euro 6,First Hand,1.0,Upgrated,Medium,luxury
Mercedes Benz E 220,Mercedes Benz,29499,Station wagon,195500.0,Automatic,Diesel,Dealer,143.0,9.0,Euro 6,First Hand,4.0,Upgrated,Medium,luxury
Mercedes Benz C 220,Mercedes Benz,18688,Station wagon,179200.0,Automatic,Diesel,Dealer,125.0,7.0,Euro 6,Second Hand,6.0,Standart,Medium,luxury
Mercedes Benz E 300,Mercedes Benz,36749,Station wagon,84750.0,Automatic,Diesel,Dealer,180.0,9.0,Euro 6,First Hand,3.0,Upgrated,Medium,luxury
Mercedes Benz E 200,Mercedes Benz,22480,Station wagon,87036.0,Automatic,Benzin,Dealer,135.0,7.0,Euro 6,Second Hand,8.0,Standart,Medium,luxury
Mercedes Benz C 220,Mercedes Benz,22790,Station wagon,78382.0,Manual,Diesel,Dealer,125.0,6.0,Euro 6,Second Hand,5.0,Standart,Medium,luxury
Mercedes Benz B 200,Mercedes Benz,18849,Station wagon,126879.0,Automatic,Diesel,Dealer,100.0,7.0,Euro 6,First Hand,4.0,Standart,Medium,standard
Mercedes Benz E 43 AMG,Mercedes Benz,42999,Station wagon,92517.0,Automatic,Benzin,Dealer,295.0,9.0,Euro 6,Second Hand,5.0,Upgrated,High,luxury
Mercedes Benz CLA 200,Mercedes Benz,17500,Station wagon,170450.0,Manual,Benzin,Dealer,115.0,7.0,Euro 6,Second Hand,8.0,Standart,Medium,standard
Mercedes Benz C 200,Mercedes Benz,19499,Station wagon,138298.0,Manual,Diesel,Dealer,118.0,6.0,Euro 6,First Hand,3.0,Upgrated,Medium,luxury
Mercedes Benz CLA 35 AMG,Mercedes Benz,62800,Station wagon,2001.0,Automatic,Benzin,Dealer,225.0,7.0,Euro 6,First Hand,0.0,Upgrated,Medium,luxury
Mercedes Benz C 43 AMG,Mercedes Benz,64980,Station wagon,4762.0,Automatic,Benzin,Dealer,287.0,9.0,Euro 6,First Hand,2.0,Standart,High,luxury
Mercedes Benz E 400,Mercedes Benz,47875,Station wagon,45875.0,Automatic,Diesel,Dealer,250.0,9.0,Euro 6,First Hand,3.0,Upgrated,High,luxury
Mercedes Benz C 200,Mercedes Benz,26590,Station wagon,34170.0,Automatic,Diesel,Dealer,135.0,9.0,Euro 6,First Hand,3.0,Standart,Medium,standard
Mercedes Benz E 300,Mercedes Benz,35699,Station wagon,99615.0,Automatic,Diesel,Dealer,180.0,9.0,Euro 6,First Hand,3.0,Upgrated,Medium,luxury
Mercedes Benz A 45 AMG,Mercedes Benz,40995,Station wagon,45800.0,Automatic,Benzin,Dealer,280.0,7.0,Euro 6,Second Hand,5.0,Standart,Medium,standard
Mercedes Benz C 180,Mercedes Benz,32990,Station wagon,26500.0,Automatic,Benzin,Dealer,115.0,9.0,Euro 6,First Hand,2.0,Upgrated,Medium,standard
Mercedes Benz E 400,Mercedes Benz,37975,Station wagon,65878.0,Automatic,Diesel,Dealer,250.0,9.0,Euro 6,First Hand,4.0,Standart,High,luxury
Mercedes Benz C 220,Mercedes Benz,29970,Station wagon,97579.0,Automatic,Diesel,Dealer,143.0,9.0,Euro 6,First Hand,4.0,Upgrated,Medium,luxury
Mercedes Benz CLA 220,Mercedes Benz,29690,Station wagon,54334.0,Automatic,Diesel,Dealer,130.0,7.0,Euro 6,First Hand,4.0,Standart,Medium,standard
Mercedes Benz C 400,Mercedes Benz,36870,Station wagon,89680.0,Automatic,Benzin,Dealer,245.0,9.0,Euro 6,First Hand,4.0,Upgrated,High,luxury
Mercedes Benz E 220,Mercedes Benz,32700,Station wagon,35000.0,Automatic,Diesel,Dealer,143.0,9.0,Euro 6,First Hand,4.0,Standart,Medium,standard
Mercedes Benz C 200,Mercedes Benz,27450,Station wagon,72252.0,Manual,Diesel,Dealer,118.0,9.0,Euro 6,First Hand,3.0,Standart,Medium,standard
Mercedes Benz C 300,Mercedes Benz,45250,Station wagon,46912.0,Automatic,Other,Dealer,225.0,9.0,Euro 6,First Hand,2.0,Standart,Medium,standard
Mercedes Benz E 400,Mercedes Benz,32999,Station wagon,128585.0,Automatic,Benzin,Dealer,245.0,9.0,Euro 6,First Hand,5.0,Standart,High,luxury
Mercedes Benz C 160,Mercedes Benz,32995,Station wagon,76895.0,Automatic,Benzin,Dealer,95.0,9.0,Euro 6,First Hand,4.0,Standart,Medium,luxury
