make_model,make,location,price,body_type,type,doors,warranty,mileage,gearbox,fuel_type,paint,seller,seats,power,gears,co_emissions,drivetrain,full_service_history,non_smoker_vehicle,emission_class,upholstery,previous_owner,age,fuel_consumption_comb,entertainment_media_count,engine_size_cat,safety_security_category,extras_category,comfort_convenience_cat
Mercedes Benz GLC 220,Mercedes Benz,ES,64900,Compact,Used,5.0,Yes,6589.0,Automatic,Diesel,non-metallic,Dealer,5.0,143.0,9.0,121.0,4WD,No,No,Euro 6,Cloth,First Hand,1.0,5.0,Standart,Medium,Premium,standard,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,67900,Compact,Used,5.0,Yes,6564.0,Automatic,Benzin,non-metallic,Dealer,5.0,310.0,8.0,190.0,4WD,No,No,Euro 6,Leather,First Hand,1.0,8.4,Standart,Medium,Premium,standard,standard
Mercedes Benz A 160,Mercedes Benz,BE,13999,Compact,Used,5.0,No,128644.0,Manual,Diesel,non-metallic,Dealer,5.0,66.0,5.0,98.0,Front,No,No,Euro 5,Cloth,Second Hand,8.0,5.4,Standart,Medium,Premium,standard,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,29990,Compact,Used,5.0,Yes,120000.0,Automatic,Benzin,non-metallic,Dealer,5.0,265.0,7.0,161.0,4WD,No,No,Euro 6,Leather,Second Hand,8.0,7.1,Standart,Medium,Premium,standard,standard
Mercedes Benz A 200,Mercedes Benz,DE,8300,Compact,Used,5.0,Yes,71752.0,Automatic,Benzin,Metallic,Dealer,5.0,100.0,7.0,179.0,Front,Yes,Yes,Euro 4,Leather,Second Hand,17.0,7.6,Standart,Medium,Premium,luxury,standard
Mercedes Benz A 200,Mercedes Benz,BE,32950,Compact,Used,5.0,No,34942.0,Automatic,Benzin,non-metallic,Dealer,5.0,120.0,7.0,121.0,Front,No,No,Euro 6,Leather,First Hand,2.0,5.3,Standart,Low,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,BE,32950,Compact,Used,5.0,No,20124.0,Automatic,Benzin,non-metallic,Dealer,5.0,100.0,7.0,128.0,Front,No,No,Euro 6,Leather,First Hand,2.0,5.6,Standart,Low,Premium,standard,standard
Mercedes Benz A 250,Mercedes Benz,ES,36900,Compact,Used,5.0,Yes,11990.0,Automatic,Benzin,non-metallic,Dealer,5.0,160.0,8.0,146.0,Front,No,No,Euro 6,Leather,First Hand,1.0,6.0,Standart,Low,Premium,standard,standard
Mercedes Benz E 220,Mercedes Benz,ES,29800,Compact,Used,5.0,Yes,55226.0,Manual,Diesel,non-metallic,Dealer,5.0,125.0,5.0,101.0,Rear,No,No,Euro 6,Cloth,Second Hand,6.0,4.7,Standart,Medium,Premium,standard,luxury
Mercedes Benz A 180,Mercedes Benz,ES,18390,Compact,Used,5.0,Yes,63871.0,Automatic,Benzin,non-metallic,Dealer,5.0,90.0,7.0,126.0,Front,No,No,Euro 6,Leather,Second Hand,5.0,5.4,Standart,Medium,Basic,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,25900,Compact,Used,5.0,Yes,26900.0,Manual,Benzin,Metallic,Dealer,5.0,100.0,6.0,121.0,Front,No,No,Euro 6,Leather,First Hand,2.0,5.3,Standart,Low,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,25400,Compact,Used,5.0,Yes,87700.0,Automatic,Diesel,non-metallic,Dealer,5.0,85.0,7.0,108.0,Front,No,No,Euro 6,Leather,First Hand,4.0,4.6,Standart,Medium,Premium,standard,standard
Mercedes Benz B 200,Mercedes Benz,ES,29000,Compact,Used,5.0,No,45701.0,Automatic,Diesel,non-metallic,Dealer,5.0,110.0,8.0,103.0,Front,No,No,Euro 6,Leather,First Hand,3.0,4.0,Standart,Medium,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,BE,29900,Compact,Used,5.0,Yes,52497.0,Automatic,Benzin,Metallic,Dealer,5.0,100.0,7.0,127.0,Front,Yes,Yes,Euro 6,Leather,Second Hand,3.0,5.6,Standart,Low,Premium,luxury,luxury
Mercedes Benz A 180,Mercedes Benz,BE,14490,Compact,Used,5.0,Yes,118059.0,Manual,Diesel,Metallic,Dealer,5.0,80.0,6.0,98.0,Front,No,No,Euro 6,Cloth,Second Hand,8.0,5.2,Standart,Medium,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,20630,Compact,Used,5.0,Yes,98258.0,Manual,Diesel,non-metallic,Dealer,5.0,85.0,7.0,103.0,Front,No,No,Euro 6,Leather,First Hand,3.0,4.2,Standart,Medium,Premium,standard,standard
