make_model,make,location,price,body_type,type,doors,warranty,mileage,gearbox,fuel_type,paint,seller,seats,power,gears,co_emissions,drivetrain,full_service_history,non_smoker_vehicle,emission_class,upholstery,previous_owner,age,fuel_consumption_comb,entertainment_media_count,engine_size_cat,safety_security_category,extras_category,comfort_convenience_cat
Mercedes Benz A 35 AMG,Mercedes Benz,ES,47900,Compact,Used,5.0,No,13000.0,Automatic,Benzin,Metallic,Dealer,5.0,225.0,7.0,169.0,4WD,No,No,Euro 6,Leather,First Hand,3.0,7.3,Standart,Medium,Premium,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,45990,Compact,Pre-registered,5.0,Yes,1.0,Automatic,Diesel,non-metallic,Dealer,5.0,110.0,8.0,91.0,Front,No,No,Euro 6,Leather,First Hand,0.0,4.2,Standart,Medium,Premium,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,26263,Compact,Used,5.0,Yes,114154.0,Automatic,Diesel,non-metallic,Dealer,5.0,110.0,8.0,119.0,Front,No,No,Euro 6,Leather,First Hand,2.0,4.2,Standart,Medium,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,23868,Compact,Used,5.0,Yes,79163.0,Automatic,Diesel,non-metallic,Dealer,5.0,85.0,7.0,108.0,Front,No,No,Euro 6,Leather,First Hand,4.0,4.6,Standart,Medium,Premium,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,15900,Compact,Used,5.0,Yes,201000.0,Manual,Diesel,Metallic,Dealer,5.0,103.0,6.0,88.0,Front,No,No,Euro 6,Leather,Second Hand,9.0,5.4,Standart,Medium,Middle,standard,standard
Mercedes Benz A 35 AMG,Mercedes Benz,ES,43700,Compact,Used,5.0,Yes,68000.0,Automatic,Benzin,non-metallic,Dealer,5.0,225.0,7.0,169.0,4WD,No,No,Euro 6,Leather,First Hand,3.0,7.3,Standart,Medium,Premium,standard,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,37000,Compact,Used,5.0,Yes,103000.0,Automatic,Benzin,non-metallic,Dealer,5.0,280.0,7.0,162.0,4WD,No,No,Euro 6,Leather,Second Hand,5.0,6.9,Standart,Medium,Basic,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,15900,Compact,Used,5.0,Yes,114000.0,Automatic,Diesel,Metallic,Dealer,5.0,80.0,7.0,92.0,Front,No,No,Euro 6,Leather,Second Hand,7.0,5.2,Standart,Medium,Basic,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,17500,Compact,Used,5.0,Yes,75558.0,Manual,Diesel,non-metallic,Dealer,5.0,100.0,6.0,88.0,Front,No,No,Euro 6,Leather,Second Hand,9.0,4.3,Standart,Medium,Premium,standard,standard
Mercedes Benz A 250,Mercedes Benz,ES,35700,Compact,Used,5.0,Yes,40900.0,Automatic,Benzin,non-metallic,Dealer,5.0,160.0,8.0,146.0,Front,No,No,Euro 6,Leather,First Hand,2.0,6.0,Standart,Low,Basic,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,15690,Compact,Used,5.0,Yes,80999.0,Manual,Diesel,Metallic,Dealer,5.0,80.0,6.0,102.0,Front,No,No,Euro 6,Leather,Second Hand,5.0,5.2,Standart,Medium,Basic,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,4500,Compact,Used,5.0,Yes,242000.0,Manual,Diesel,non-metallic,Dealer,5.0,80.0,6.0,124.0,Front,No,No,Euro 6,Leather,Second Hand,15.0,5.2,Standart,Medium,Middle,standard,standard
Mercedes Benz Viano,Mercedes Benz,ES,9300,Compact,Used,5.0,No,180000.0,Automatic,Diesel,non-metallic,Dealer,5.0,132.0,7.0,119.0,Front,No,No,Euro 6,Cloth,Second Hand,18.0,4.1,Standart,Medium,Premium,standard,standard
Mercedes Benz A 35 AMG,Mercedes Benz,ES,43900,Compact,Used,5.0,Yes,51000.0,Automatic,Benzin,non-metallic,Dealer,5.0,225.0,7.0,169.0,4WD,No,No,Euro 6,Leather,First Hand,3.0,7.3,Standart,Medium,Premium,standard,standard
Mercedes Benz A 35 AMG,Mercedes Benz,ES,52990,Compact,Used,5.0,Yes,29855.0,Automatic,Benzin,non-metallic,Dealer,5.0,225.0,7.0,169.0,4WD,No,No,Euro 6,Leather,First Hand,3.0,7.3,Standart,Medium,Premium,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,27490,Compact,Used,5.0,Yes,72458.0,Automatic,Benzin,Metallic,Dealer,5.0,120.0,7.0,136.0,Front,No,No,Euro 6,Leather,First Hand,3.0,5.3,Standart,Low,Premium,standard,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,66890,Compact,Used,5.0,Yes,31000.0,Automatic,Benzin,non-metallic,Dealer,5.0,310.0,8.0,192.0,4WD,No,No,Euro 6,Leather,First Hand,2.0,8.4,Standart,Medium,Middle,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,17490,Compact,Used,5.0,Yes,115352.0,Automatic,Diesel,Metallic,Dealer,5.0,100.0,7.0,109.0,Front,No,No,Euro 6,Leather,Second Hand,5.0,4.1,Standart,Medium,Basic,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,19900,Compact,Used,5.0,Yes,81177.0,Automatic,Diesel,non-metallic,Dealer,5.0,100.0,6.0,109.0,Front,No,No,Euro 6,Leather,Second Hand,5.0,4.1,Standart,Medium,Middle,standard,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,28490,Compact,Used,5.0,Yes,105000.0,Automatic,Benzin,non-metallic,Dealer,5.0,265.0,7.0,161.0,4WD,No,No,Euro 6,Leather,Second Hand,8.0,7.1,Standart,Medium,Premium,standard,standard
Mercedes Benz SLK 200,Mercedes Benz,ES,22800,Compact,Used,5.0,Yes,79137.0,Manual,Benzin,non-metallic,Dealer,5.0,135.0,6.0,99.0,Rear,No,No,Euro 5,Cloth,Second Hand,9.0,6.4,Standart,Medium,Premium,standard,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,32900,Compact,Used,5.0,Yes,98500.0,Automatic,Benzin,non-metallic,Dealer,5.0,265.0,7.0,161.0,4WD,No,No,Euro 6,Leather,Second Hand,9.0,7.1,Standart,Medium,Premium,standard,standard
Mercedes Benz A 220,Mercedes Benz,ES,21500,Compact,Used,5.0,Yes,59618.0,Automatic,Diesel,non-metallic,Dealer,5.0,125.0,7.0,88.0,Front,No,No,Euro 6,Leather,Second Hand,9.0,4.4,Standart,Medium,Premium,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,19490,Compact,Used,5.0,Yes,99000.0,Automatic,Diesel,non-metallic,Dealer,5.0,100.0,7.0,82.0,Front,No,No,Euro 6,Leather,Second Hand,7.0,4.1,Standart,Medium,Premium,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,20841,Compact,Used,5.0,Yes,79994.0,Automatic,Diesel,non-metallic,Dealer,5.0,100.0,6.0,109.0,Front,No,No,Euro 6,Leather,Second Hand,5.0,4.1,Standart,Medium,Basic,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,34900,Compact,Used,5.0,Yes,12300.0,Automatic,Benzin,non-metallic,Dealer,5.0,120.0,7.0,136.0,Front,No,No,Euro 6,Leather,First Hand,3.0,5.3,Standart,Low,Premium,standard,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,38000,Compact,Used,5.0,Yes,39000.0,Automatic,Benzin,Metallic,Dealer,5.0,280.0,7.0,162.0,4WD,No,No,Euro 6,Leather,Second Hand,5.0,6.9,Standart,Medium,Basic,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,23095,Compact,Used,5.0,Yes,74546.0,Manual,Benzin,non-metallic,Dealer,5.0,120.0,6.0,136.0,Front,No,No,Euro 6,Leather,First Hand,4.0,5.3,Standart,Low,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,23490,Compact,Used,5.0,Yes,29000.0,Automatic,Diesel,Metallic,Dealer,5.0,85.0,7.0,103.0,Front,No,No,Euro 6,Leather,First Hand,3.0,4.6,Standart,Medium,Premium,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,19290,Compact,Used,5.0,Yes,30620.0,Manual,Diesel,non-metallic,Dealer,5.0,100.0,6.0,109.0,Front,No,No,Euro 6,Leather,Second Hand,5.0,4.1,Standart,Medium,Basic,standard,standard
Mercedes Benz A 250,Mercedes Benz,ES,32500,Compact,Used,5.0,Yes,37021.0,Automatic,Benzin,Metallic,Dealer,5.0,118.0,8.0,146.0,Front,No,No,Euro 6,Leather,First Hand,2.0,6.0,Standart,Low,Basic,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,26390,Compact,Used,5.0,Yes,94467.0,Automatic,Diesel,non-metallic,Dealer,5.0,80.0,7.0,120.0,Front,No,No,Euro 6,Leather,First Hand,2.0,5.2,Standart,Medium,Middle,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,44990,Compact,Pre-registered,5.0,Yes,1.0,Automatic,Diesel,non-metallic,Dealer,5.0,110.0,8.0,91.0,Front,No,No,Euro 6,Leather,First Hand,0.0,4.2,Standart,Medium,Premium,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,27490,Compact,Used,5.0,Yes,47794.0,Automatic,Benzin,Metallic,Dealer,5.0,120.0,7.0,136.0,Front,No,No,Euro 6,Leather,First Hand,3.0,5.3,Standart,Low,Premium,standard,standard
Mercedes Benz A 250,Mercedes Benz,ES,27500,Compact,Used,5.0,Yes,16500.0,Automatic,Benzin,non-metallic,Dealer,5.0,160.0,7.0,99.0,4WD,No,No,Euro 6,Leather,Second Hand,6.0,6.7,Standart,Medium,Basic,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,30500,Compact,Used,5.0,Yes,29600.0,Automatic,Diesel,Metallic,Dealer,5.0,85.0,8.0,121.0,Front,No,No,Euro 6,Leather,First Hand,1.0,4.6,Standart,Medium,Premium,standard,standard
Mercedes Benz A 35 AMG,Mercedes Benz,ES,44500,Compact,Used,5.0,No,34000.0,Automatic,Benzin,non-metallic,Dealer,5.0,225.0,7.0,169.0,4WD,No,No,Euro 6,Leather,First Hand,3.0,7.3,Standart,Medium,Premium,standard,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,32500,Compact,Used,5.0,Yes,75000.0,Automatic,Benzin,non-metallic,Dealer,5.0,265.0,7.0,161.0,4WD,No,No,Euro 6,Leather,Second Hand,8.0,7.1,Standart,Medium,Premium,standard,standard
Mercedes Benz A 220,Mercedes Benz,ES,43900,Compact,Used,5.0,Yes,19900.0,Automatic,Diesel,Metallic,Dealer,5.0,140.0,8.0,119.0,Front,No,No,Euro 6,Leather,First Hand,2.0,4.3,Standart,Medium,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,16500,Compact,Used,5.0,Yes,160000.0,Manual,Diesel,non-metallic,Dealer,5.0,80.0,6.0,92.0,Front,No,No,Euro 6,Leather,Second Hand,7.0,5.2,Standart,Medium,Premium,standard,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,32900,Compact,Used,5.0,Yes,110000.0,Automatic,Benzin,non-metallic,Dealer,5.0,265.0,7.0,161.0,4WD,No,No,Euro 6,Leather,Second Hand,7.0,7.1,Standart,Medium,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,25490,Compact,Used,5.0,Yes,28000.0,Automatic,Diesel,non-metallic,Dealer,5.0,85.0,7.0,108.0,Front,No,No,Euro 6,Leather,First Hand,4.0,4.6,Standart,Medium,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,22700,Compact,Used,5.0,Yes,123462.0,Automatic,Diesel,non-metallic,Dealer,5.0,80.0,7.0,103.0,Front,No,No,Euro 6,Leather,First Hand,3.0,5.2,Standart,Medium,Basic,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,27990,Compact,Used,5.0,Yes,32583.0,Automatic,Benzin,non-metallic,Dealer,5.0,120.0,7.0,136.0,Front,No,No,Euro 6,Leather,First Hand,3.0,5.3,Standart,Low,Premium,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,16449,Compact,Used,5.0,Yes,118412.0,Automatic,Diesel,non-metallic,Dealer,5.0,100.0,7.0,82.0,Front,No,No,Euro 6,Leather,Second Hand,7.0,4.1,Standart,Medium,Premium,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,17450,Compact,Used,5.0,Yes,62207.0,Manual,Benzin,non-metallic,Dealer,5.0,115.0,6.0,99.0,Front,No,No,Euro 6,Leather,Second Hand,10.0,5.3,Standart,Low,Premium,standard,standard
Mercedes Benz 220,Mercedes Benz,ES,9400,Compact,Used,5.0,Yes,173132.0,Manual,Diesel,non-metallic,Dealer,5.0,110.0,5.0,104.0,Rear,No,No,Euro 6,Cloth,Second Hand,13.0,5.9,Standart,Medium,Premium,standard,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,39500,Compact,Used,5.0,Yes,29841.0,Automatic,Benzin,Metallic,Dealer,5.0,265.0,7.0,161.0,4WD,No,No,Euro 6,Leather,Second Hand,8.0,7.1,Standart,Medium,Premium,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,25200,Compact,Used,5.0,Yes,52000.0,Automatic,Diesel,non-metallic,Dealer,5.0,110.0,8.0,109.0,Front,No,No,Euro 6,Leather,First Hand,3.0,4.2,Standart,Medium,Premium,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,33250,Compact,Used,5.0,No,63304.0,Automatic,Diesel,Metallic,Dealer,5.0,110.0,8.0,109.0,Front,No,No,Euro 6,Leather,First Hand,3.0,4.2,Standart,Medium,Premium,standard,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,33900,Compact,Used,5.0,Yes,115000.0,Automatic,Benzin,non-metallic,Dealer,5.0,280.0,7.0,162.0,4WD,No,No,Euro 6,Leather,Second Hand,6.0,6.9,Standart,Medium,Basic,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,32500,Compact,Used,5.0,Yes,40000.0,Automatic,Benzin,Metallic,Dealer,5.0,120.0,7.0,136.0,Front,No,No,Euro 6,Leather,First Hand,3.0,5.3,Standart,Low,Premium,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,15900,Compact,Used,5.0,No,245000.0,Automatic,Diesel,non-metallic,Dealer,5.0,100.0,7.0,82.0,Front,No,No,Euro 6,Leather,Second Hand,7.0,4.1,Standart,Medium,Premium,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,16729,Compact,Used,5.0,Yes,174948.0,Automatic,Diesel,non-metallic,Dealer,5.0,100.0,6.0,82.0,Front,No,No,Euro 6,Leather,Second Hand,7.0,4.5,Standart,Medium,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,17490,Compact,Used,5.0,Yes,82000.0,Automatic,Diesel,non-metallic,Dealer,5.0,80.0,7.0,92.0,Front,No,No,Euro 6,Leather,Second Hand,8.0,5.2,Standart,Medium,Premium,standard,standard
Mercedes Benz A 250,Mercedes Benz,ES,44900,Compact,Used,5.0,Yes,17264.0,Automatic,Benzin,Metallic,Dealer,5.0,165.0,7.0,146.0,4WD,No,No,Euro 6,Leather,First Hand,1.0,6.7,Standart,Medium,Premium,standard,standard
Mercedes Benz A 45 AMG,Mercedes Benz,ES,39900,Compact,Used,5.0,No,20167.0,Automatic,Benzin,non-metallic,Dealer,5.0,265.0,7.0,161.0,4WD,No,No,Euro 6,Leather,Second Hand,8.0,7.1,Standart,Medium,Premium,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,19490,Compact,Used,5.0,Yes,93361.0,Automatic,Diesel,Metallic,Dealer,5.0,100.0,7.0,109.0,Front,No,No,Euro 6,Leather,Second Hand,5.0,4.1,Standart,Medium,Basic,standard,standard
Mercedes Benz A 35 AMG,Mercedes Benz,ES,45900,Compact,Used,5.0,Yes,42500.0,Automatic,Benzin,non-metallic,Dealer,5.0,225.0,7.0,169.0,4WD,No,No,Euro 6,Leather,First Hand,3.0,7.3,Standart,Medium,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,13900,Compact,Used,5.0,Yes,198000.0,Manual,Diesel,Metallic,Dealer,5.0,80.0,6.0,92.0,Front,No,No,Euro 6,Leather,Second Hand,8.0,4.1,Standart,Medium,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,19890,Compact,Used,5.0,Yes,164305.0,Manual,Diesel,non-metallic,Dealer,5.0,80.0,6.0,102.0,Front,No,No,Euro 6,Leather,Second Hand,5.0,5.2,Standart,Medium,Premium,standard,standard
Mercedes Benz A 200,Mercedes Benz,ES,15890,Compact,Used,5.0,Yes,146000.0,Manual,Diesel,non-metallic,Dealer,5.0,100.0,6.0,85.0,Front,No,No,Euro 6,Leather,Second Hand,8.0,4.3,Standart,Medium,Premium,standard,standard
Mercedes Benz A 220,Mercedes Benz,ES,22000,Compact,Used,5.0,Yes,170500.0,Automatic,Diesel,Metallic,Dealer,5.0,125.0,7.0,82.0,Front,No,No,Euro 6,Leather,Second Hand,7.0,4.4,Standart,Medium,Premium,standard,standard
Mercedes Benz A 180,Mercedes Benz,ES,30990,Compact,Used,5.0,Yes,40000.0,Automatic,Diesel,non-metallic,Dealer,5.0,85.0,7.0,121.0,Front,No,No,Euro 6,Leather,First Hand,1.0,4.6,Standart,Medium,Premium,standard,standard
Mercedes Benz E 400,Mercedes Benz,DE,64870,Convertible,Used,3.0,Yes,78473.0,Automatic,Diesel,Metallic,Dealer,4.0,250.0,9.0,162.0,4WD,Yes,Yes,Euro 6,Leather,First Hand,2.0,6.2,Upgrated,High,Premium,standard,luxury
Mercedes Benz SLC 43 AMG,Mercedes Benz,DE,46880,Convertible,Used,3.0,No,21000.0,Automatic,Benzin,Metallic,Dealer,2.0,270.0,9.0,178.0,Rear,Yes,Yes,Euro 6,Leather,Second Hand,6.0,7.8,Upgrated,High,Premium,luxury,luxury
Mercedes Benz E 400,Mercedes Benz,DE,31880,Convertible,Used,3.0,No,112538.0,Automatic,Benzin,Metallic,Dealer,4.0,245.0,7.0,165.0,Rear,Yes,Yes,Euro 6,Leather,Second Hand,7.0,7.1,Standart,High,Premium,standard,luxury
Mercedes Benz SL 350,Mercedes Benz,BE,48900,Convertible,Used,3.0,Yes,36600.0,Automatic,Benzin,Metallic,Dealer,2.0,225.0,7.0,169.0,Rear,Yes,Yes,Euro 5,Leather,Second Hand,9.0,6.8,Standart,High,Premium,luxury,luxury
Mercedes Benz SLC 250,Mercedes Benz,DE,32880,Convertible,Used,3.0,No,80000.0,Automatic,Diesel,Metallic,Dealer,2.0,150.0,9.0,114.0,Rear,Yes,Yes,Euro 6,Leather,First Hand,6.0,4.4,Upgrated,Medium,Premium,luxury,luxury
Mercedes Benz SLK 350,Mercedes Benz,DE,32880,Convertible,Used,3.0,No,50000.0,Automatic,Benzin,Metallic,Dealer,2.0,225.0,7.0,167.0,Rear,Yes,Yes,Euro 5,Leather,Second Hand,11.0,7.1,Upgrated,High,Premium,luxury,luxury
Mercedes Benz SLK 350,Mercedes Benz,DE,12480,Convertible,Used,3.0,No,136100.0,Automatic,Benzin,Metallic,Dealer,2.0,200.0,7.0,242.0,Rear,Yes,Yes,Euro 4,Leather,Second Hand,16.0,10.1,Standart,High,Premium,standard,standard
Mercedes Benz CLK 200,Mercedes Benz,DE,9990,Convertible,Used,3.0,No,159526.0,Automatic,Benzin,Metallic,Dealer,4.0,135.0,6.0,214.0,Front,Yes,Yes,Euro 4,Leather,Second Hand,14.0,9.0,Standart,Medium,Premium,standard,standard
Mercedes Benz CLK 200,Mercedes Benz,DE,9990,Convertible,Used,3.0,No,159526.0,Automatic,LPG/CNG,Metallic,Dealer,4.0,135.0,6.0,214.0,Front,Yes,Yes,Euro 4,Leather,Second Hand,14.0,9.0,Standart,Medium,Premium,standard,standard
Mercedes Benz SLK 200,Mercedes Benz,DE,13499,Convertible,Used,3.0,No,184160.0,Manual,Benzin,Metallic,Dealer,2.0,135.0,6.0,151.0,Rear,Yes,Yes,Euro 5,Leather,Second Hand,9.0,6.4,Standart,Medium,Premium,standard,standard
Mercedes Benz C 400,Mercedes Benz,DE,63370,Convertible,Employee's car,3.0,Yes,20145.0,Automatic,Benzin,Metallic,Dealer,4.0,245.0,9.0,196.0,4WD,Yes,Yes,Euro 6,Leather,First Hand,1.0,8.6,Upgrated,High,Premium,standard,luxury
Mercedes Benz E 400,Mercedes Benz,DE,26999,Convertible,Used,3.0,Yes,188000.0,Automatic,Benzin,Metallic,Dealer,4.0,245.0,9.0,165.0,4WD,Yes,Yes,Euro 6,Other,First Hand,7.0,7.1,Standart,High,Premium,luxury,luxury
Mercedes Benz SLC 43 AMG,Mercedes Benz,DE,58755,Convertible,Used,3.0,Yes,28562.0,Automatic,Benzin,Metallic,Dealer,2.0,270.0,9.0,178.0,Rear,Yes,Yes,Euro 6,Leather,First Hand,5.0,7.8,Upgrated,High,Premium,luxury,luxury
Mercedes Benz SLK 350,Mercedes Benz,DE,35880,Convertible,Used,3.0,No,46437.0,Automatic,Benzin,non-metallic,Dealer,2.0,225.0,7.0,171.0,Rear,Yes,Yes,Euro 6,Leather,Second Hand,7.0,7.2,Upgrated,High,Premium,luxury,standard
Mercedes Benz E 350,Mercedes Benz,ES,13490,Convertible,Used,3.0,Yes,235000.0,Automatic,Benzin,non-metallic,Dealer,4.0,215.0,7.0,169.0,Rear,No,No,Euro 5,Leather,Second Hand,12.0,8.8,Standart,High,Middle,standard,standard
Mercedes Benz E 220,Mercedes Benz,BE,19499,Convertible,Used,3.0,Yes,137600.0,Automatic,Diesel,Metallic,Dealer,4.0,120.0,7.0,142.0,Rear,Yes,Yes,Euro 5,Leather,Second Hand,10.0,5.4,Standart,Medium,Premium,standard,luxury
Mercedes Benz C 43 AMG,Mercedes Benz,DE,59990,Convertible,Used,3.0,No,20000.0,Automatic,Benzin,Metallic,Dealer,4.0,287.0,9.0,218.0,4WD,Yes,Yes,Euro 6,Leather,Second Hand,3.0,9.5,Upgrated,High,Premium,luxury,luxury
Mercedes Benz SL 350,Mercedes Benz,DE,37880,Convertible,Used,3.0,No,83925.0,Automatic,Benzin,Metallic,Dealer,2.0,232.0,7.0,214.0,Rear,Yes,Yes,Euro 5,Leather,Second Hand,11.0,9.2,Standart,High,Premium,standard,standard
Mercedes Benz E 400,Mercedes Benz,DE,43600,Convertible,Used,3.0,No,47000.0,Automatic,Benzin,Metallic,Dealer,4.0,245.0,9.0,165.0,4WD,Yes,Yes,Euro 6,Leather,Second Hand,6.0,7.1,Upgrated,High,Premium,luxury,luxury
Mercedes Benz SLK 250,Mercedes Benz,DE,26880,Convertible,Used,3.0,No,99283.0,Automatic,Diesel,Metallic,Dealer,2.0,150.0,9.0,125.0,Rear,Yes,Yes,Euro 6,Leather,Second Hand,7.0,4.7,Standart,Medium,Premium,luxury,standard
Mercedes Benz SLK 300,Mercedes Benz,DE,19480,Convertible,Used,3.0,Yes,98700.0,Automatic,Benzin,Metallic,Dealer,2.0,170.0,7.0,145.0,Front,Yes,Yes,Euro 5,Leather,Second Hand,11.0,9.5,Standart,High,Premium,luxury,standard
Mercedes Benz SLC 200,Mercedes Benz,BE,42995,Convertible,Used,3.0,Yes,1945.0,Manual,Benzin,Metallic,Dealer,2.0,135.0,6.0,142.0,Rear,Yes,Yes,Euro 6,Leather,First Hand,2.0,6.1,Upgrated,Medium,Premium,luxury,luxury
Mercedes Benz E 350,Mercedes Benz,ES,34900,Convertible,Used,3.0,Yes,89000.0,Automatic,Diesel,non-metallic,Dealer,4.0,185.0,7.0,126.0,Rear,No,No,Euro 5,Leather,Second Hand,9.0,5.6,Standart,High,Middle,standard,standard
Mercedes Benz C 43 AMG,Mercedes Benz,DE,48890,Convertible,Used,3.0,Yes,42157.0,Automatic,Benzin,non-metallic,Dealer,4.0,270.0,9.0,190.0,4WD,Yes,Yes,Euro 6,Leather,Second Hand,5.0,8.3,Standart,High,Premium,luxury,luxury
Mercedes Benz SLK 200,Mercedes Benz,BE,24950,Convertible,Used,3.0,Yes,56232.0,Automatic,Benzin,Metallic,Dealer,2.0,135.0,7.0,142.0,Rear,Yes,No,Euro 5,Leather,First Hand,8.0,6.1,Standart,Medium,Premium,standard,standard
Mercedes Benz C 43 AMG,Mercedes Benz,DE,45290,Convertible,Used,3.0,Yes,100333.0,Automatic,Benzin,Metallic,Dealer,4.0,270.0,9.0,194.0,4WD,Yes,Yes,Euro 6,Leather,First Hand,5.0,8.4,Standart,High,Premium,luxury,luxury
Mercedes Benz SLK,Mercedes Benz,DE,14800,Convertible,Used,3.0,Yes,81200.0,Manual,Benzin,Metallic,Dealer,2.0,135.0,6.0,188.0,Front,No,Yes,Euro 4,Leather,Second Hand,14.0,7.9,Standart,Medium,Premium,luxury,standard
Mercedes Benz SLK 200,Mercedes Benz,DE,7500,Convertible,Used,3.0,No,232000.0,Manual,Benzin,Metallic,Dealer,2.0,120.0,6.0,209.0,Rear,Yes,Yes,Euro 4,Leather,Second Hand,16.0,8.7,Standart,Medium,Premium,standard,standard
Mercedes Benz C 300,Mercedes Benz,DE,39980,Convertible,Used,3.0,No,69503.0,Automatic,Benzin,Metallic,Dealer,4.0,180.0,9.0,155.0,Rear,Yes,Yes,Euro 6,Leather,First Hand,5.0,6.9,Upgrated,Medium,Premium,luxury,luxury
Mercedes Benz SLK 280,Mercedes Benz,DE,17870,Convertible,Used,3.0,No,59964.0,Automatic,Benzin,Metallic,Dealer,2.0,170.0,7.0,227.0,Front,Yes,Yes,Euro 4,Leather,Second Hand,13.0,9.5,Standart,High,Premium,standard,standard
Mercedes Benz E 450,Mercedes Benz,DE,68870,Convertible,Used,3.0,No,18958.0,Automatic,Benzin,Metallic,Dealer,4.0,270.0,9.0,199.0,4WD,Yes,Yes,Euro 6,Leather,First Hand,2.0,8.7,Upgrated,High,Premium,luxury,luxury
Mercedes Benz SL 500,Mercedes Benz,ES,49900,Convertible,Used,3.0,Yes,83064.0,Automatic,Benzin,non-metallic,Dealer,2.0,320.0,7.0,214.0,Front,No,No,Euro 5,Leather,Second Hand,9.0,9.0,Standart,High,Premium,standard,standard
Mercedes Benz C 43 AMG,Mercedes Benz,DE,47500,Convertible,Used,3.0,No,97500.0,Automatic,Benzin,Metallic,Dealer,4.0,287.0,9.0,218.0,4WD,Yes,Yes,Euro 6,Leather,First Hand,4.0,9.5,Standart,High,Premium,luxury,luxury
Mercedes Benz SLC 43 AMG,Mercedes Benz,ES,41990,Convertible,Used,5.0,Yes,28159.0,Automatic,Benzin,non-metallic,Dealer,2.0,270.0,9.0,178.0,Rear,No,No,Euro 6,Leather,Second Hand,5.0,7.8,Standart,High,Premium,standard,luxury
Mercedes Benz SLC 180,Mercedes Benz,DE,24499,Convertible,Used,3.0,No,116256.0,Manual,Benzin,non-metallic,Dealer,2.0,115.0,6.0,132.0,Rear,Yes,Yes,Euro 6,Leather,First Hand,5.0,5.6,Standart,Medium,Premium,standard,luxury
Mercedes Benz SLC 200,Mercedes Benz,BE,42950,Convertible,Used,3.0,Yes,8830.0,Manual,Benzin,Metallic,Dealer,2.0,135.0,6.0,132.0,Rear,Yes,Yes,Euro 6,Leather,First Hand,2.0,6.1,Standart,Medium,Premium,luxury,luxury
Mercedes Benz E 220,Mercedes Benz,ES,26990,Convertible,Used,3.0,Yes,113000.0,Automatic,Diesel,non-metallic,Dealer,4.0,125.0,9.0,133.0,Rear,No,No,Euro 6,Leather,Second Hand,5.0,4.8,Standart,Medium,Middle,standard,standard
Mercedes Benz E 300,Mercedes Benz,DE,41960,Convertible,Used,3.0,Yes,111500.0,Automatic,Benzin,Metallic,Dealer,4.0,180.0,9.0,154.0,Rear,No,No,Euro 6,Leather,Second Hand,5.0,6.8,Upgrated,Medium,Premium,luxury,luxury
